class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
4849,ENGLISH,420S,01,Advanced Workshop in the Writing of Poetry,"Advanced Writing Workshops build on the work done at the intermediate level, and are intended for the most well-prepared and gifted creative writing students. See synopsis for more details. Prerequisite: English 320S or consent of the instructor if prior work merits admission to the class (as judged by the instructor).",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,12,7,5,0,12,Graded,N,Nathaniel E Mackey
8744,ENGLISH,490S,01,Special Topics in Language and Literature,"Topics may change each semester. Area requirements (Area I, II, III) will be determined by the Director of Undergraduate Studies. See synopsis for more details.",POWER OF THE STORY,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,12,9,3,0,12,Graded,Y,Markos Hadjioannou; Rey Chow; -
11079,ENGLISH,491,01,Independent Study,"Individual non-research creative writing project directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Open to juniors and seniors. Consent of both the instructor and the director of undergraduate studies required.",CAMPUS NOVEL WRITING,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Akhil Sharma
11109,ENGLISH,491,02,Independent Study,"Individual non-research creative writing project directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Open to juniors and seniors. Consent of both the instructor and the director of undergraduate studies required.",SELF-INVESTIGATION,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Akhil Sharma
11425,ENGLISH,491,03,Independent Study,"Individual non-research creative writing project directed study in a field of special interest on a previously approved topic, under the supervision of a faculty member, resulting in an academic and/or artistic product. Open to juniors and seniors. Consent of both the instructor and the director of undergraduate studies required.",REMEMBERING/NATURE/FEMININITY,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Cathy E Shuman
11080,ENGLISH,493,01,Research Independent Study,"Individual research in a field of special interest under the supervision of a faculty member, the central goal of which is a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open to juniors and seniors. Consent of both the instructor and the director of undergraduate studies required.","LAW, JUSTICE AND THE FRONTIER",1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Thomas J Ferraro
11388,ENGLISH,493,02,Research Independent Study,"Individual research in a field of special interest under the supervision of a faculty member, the central goal of which is a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open to juniors and seniors. Consent of both the instructor and the director of undergraduate studies required.",CAMP SENSIBILITY,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Taylor Henley Black
11424,ENGLISH,493,03,Research Independent Study,"Individual research in a field of special interest under the supervision of a faculty member, the central goal of which is a substantive paper or written report containing significant analysis and interpretation of a previously approved topic. Open to juniors and seniors. Consent of both the instructor and the director of undergraduate studies required.",LIFESTYLE AND QUEER TIME,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Taylor Henley Black
9444,ENGLISH,496,01,Distinction Creative Writing Independent Study,Open to those whose thesis will be in the field of creative writing. Application and consent of the Director of Undergraduate Studies.,MARELENA,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Aminuddin Ahmad
9445,ENGLISH,496,02,Distinction Creative Writing Independent Study,Open to those whose thesis will be in the field of creative writing. Application and consent of the Director of Undergraduate Studies.,WRITING THE MODERN SCREWBALL,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Neal Bell
9446,ENGLISH,498,01,Distinction Critical Research Independent Study,"Open to those whose thesis will be a critical paper or piece of other research (for example, in linguistics). Application and consent of the Director of Undergraduate Studies.",18TH C. WOMEN & EMERGENT NOVEL,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Charlotte Sussman
9447,ENGLISH,498,02,Distinction Critical Research Independent Study,"Open to those whose thesis will be a critical paper or piece of other research (for example, in linguistics). Application and consent of the Director of Undergraduate Studies.",THE FALL OF THE WEST,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,April Lynn Henry
9449,ENGLISH,498,04,Distinction Critical Research Independent Study,"Open to those whose thesis will be a critical paper or piece of other research (for example, in linguistics). Application and consent of the Director of Undergraduate Studies.",CTRL+ALT+DEL: HUMAN LOVE,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Aarthi Vadde
9450,ENGLISH,498,05,Distinction Critical Research Independent Study,"Open to those whose thesis will be a critical paper or piece of other research (for example, in linguistics). Application and consent of the Director of Undergraduate Studies.",ON BEAUTY AND TRUTH,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Thomas J Ferraro
9451,ENGLISH,498,06,Distinction Critical Research Independent Study,"Open to those whose thesis will be a critical paper or piece of other research (for example, in linguistics). Application and consent of the Director of Undergraduate Studies.",IN THE DEEP BLUE,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Robert Mitchell
9452,ENGLISH,498,07,Distinction Critical Research Independent Study,"Open to those whose thesis will be a critical paper or piece of other research (for example, in linguistics). Application and consent of the Director of Undergraduate Studies.",SHAKESPEARE'S WOMEN REFRAMED,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Sarah Beckwith
9453,ENGLISH,498,08,Distinction Critical Research Independent Study,"Open to those whose thesis will be a critical paper or piece of other research (for example, in linguistics). Application and consent of the Director of Undergraduate Studies.",THE EPIDEMIC OF LONELINESS,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Aarthi Vadde
9454,ENGLISH,498,09,Distinction Critical Research Independent Study,"Open to those whose thesis will be a critical paper or piece of other research (for example, in linguistics). Application and consent of the Director of Undergraduate Studies.",THE NEW ORLEANS SCENE,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Thomas J Ferraro
9455,ENGLISH,498,10,Distinction Critical Research Independent Study,"Open to those whose thesis will be a critical paper or piece of other research (for example, in linguistics). Application and consent of the Director of Undergraduate Studies.",UNTITLED TONI MORRISON PROJECT,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Stephanie S Li
9456,ENGLISH,498,11,Distinction Critical Research Independent Study,"Open to those whose thesis will be a critical paper or piece of other research (for example, in linguistics). Application and consent of the Director of Undergraduate Studies.",BLUES IS A WOMAN,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Taylor Henley Black
9457,ENGLISH,498,12,Distinction Critical Research Independent Study,"Open to those whose thesis will be a critical paper or piece of other research (for example, in linguistics). Application and consent of the Director of Undergraduate Studies.",NARROWING LITERARY CRITICISM,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Michael D'Alessandro
9676,ENGLISH,498,13,Distinction Critical Research Independent Study,"Open to those whose thesis will be a critical paper or piece of other research (for example, in linguistics). Application and consent of the Director of Undergraduate Studies.",RUSHDIE & LAHIRI POSTCOLONIAL,1,IND,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Closed,1,1,0,0,1,Graded,N,Priscilla Wald
3050,ENGLISH,582S,01,Wittgensteinian Perspectives on Literary Theory,"Key questions in literary theory reconsidered from the point of view of ordinary language philosophy (Wittgenstein, J. L. Austin, Cavell). Topics will vary, but may include: meaning, language, interpretation, intentions, fiction, realism and representation, voice, writing, the subject, the body, the other, difference and identity, the politics of theory. New perspectives on canonical texts on these subjects.",,3,SEM,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,18,15,3,0,18,Graded,Y,Toril Moi
4864,ENGLISH,590S-3,01,Special Topics Seminar III,"Subjects, areas or themes that cut across historical eras, several national literatures, or genres, 1860 to the present. See synopsis for more details. Satisfies the Area III requirement for English majors.",WAR-HOLE,3,SEM,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,12,6,6,0,12,Graded,N,Taylor Henley Black
4865,ENGLISH,590S-3,02,Special Topics Seminar III,"Subjects, areas or themes that cut across historical eras, several national literatures, or genres, 1860 to the present. See synopsis for more details. Satisfies the Area III requirement for English majors.",ULYSSES IN THEORY,3,SEM,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,15,14,1,0,15,Graded,Y,Aarthi Vadde
9110,ENGLISH,590S-4,03,"Special Topics Seminar in Criticism, Theory, or Methodology","See synopsis for more details. Satisfies the Criticism, Theory, or Methodology (CTM) for English majors.",EARLY JAMESON,3,SEM,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,18,14,4,0,18,Graded,Y,Ranjana Khanna
4906,ENGLISH,590S-5,01,Special Topics Seminar on Diversity,Examines a literary or cultural topic from the perspective of a non-dominant group or a region of the world. See synopsis for more details. Satisfies the Diversity requirement of the English major.,DOUGLASS AND POLITICAL CULTURE,3,SEM,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,14,3,11,0,14,Graded,Y,Douglas A Jones
3057,ENGLISH,860S,01,Deleuze: Cinema and Philosophy,"Examination of Gilles Deleuze's books: CINEMA 1 and CINEMA 2. Exploration of his concepts of the 'movement-image' and the 'time-image' with reference to his other single studies on Bergson, Spinoza, Leibniz, and Nietzsche. Key topics include Deleuze's philosophical interpretation of movement and change, of time and duration, of being and becoming, of expressionism and aesthetics, of subjectivity, of the 'will to power' and the 'eternal return,' of cinema as philosophy, and of ethics. Readings accompanied by assigned films from primary representatives of art, world, and experimental cinema, related to the philosophical questions/material under examination each week.",,3,SEM,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,12,10,2,0,12,Graded,Y,Markos Hadjioannou
4857,ENGLISH,890S,01,Special Topics Seminar,See synopsis for more details.,PLANETARY EXPERIMENTS,3,SEM,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,12,3,9,0,12,Graded,N,Robert Mitchell
4858,ENGLISH,890S,02,Special Topics Seminar,See synopsis for more details.,"SHAKESPEARE, TRAGEDY, PHILOS",3,SEM,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,12,10,2,0,12,Graded,N,Sarah Beckwith
4859,ENGLISH,890S,03,Special Topics Seminar,See synopsis for more details.,HIST OF CONTEMP LIT CRITICISM,3,SEM,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,12,6,6,0,12,Graded,N,Richard Jean So
4860,ENGLISH,890T,01,Tutorial in Special Topics,Tutorials by a faculty member for two or more students having a regular study session with a professor. Consent of instructor and Director of Graduate Studies required.,DISSERTATION WORKSHOP,3,TUT,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,12,6,6,0,12,Graded,N,Kathy Psomiades
4861,ENGLISH,890T,02,Tutorial in Special Topics,Tutorials by a faculty member for two or more students having a regular study session with a professor. Consent of instructor and Director of Graduate Studies required.,JOB MARKET WORKSHOP,3,TUT,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Open,12,8,4,0,12,Graded,N,Aarthi Vadde
11110,ENGLISH,891,01,Special Readings,Special Readings,JAMES BALDWIN & TONI MORRISON,1 - 6,IND,E,Graduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,11/25/2025,Closed,1,1,0,0,1,Graded,N,Joe Winters
