class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
6637,MATH,218D-1,002,Matrices and Vector Spaces,"Solving systems of linear equations, matrix factorizations and fundamental vector subspaces, orthogonality, least squares problems, eigenvalues and eigenvectors, the singular value decomposition and principal component analysis, applications to data-driven problems. Intended primarily for students in computer science and other data-focused sciences. Prospective math majors should take Mathematics 221 instead. Not open to students who have taken Mathematics 216 or 221. Recommended prerequisite: Mathematics 21, 121, 106L, or 111L.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,60,35,25,0,80,Graded,N,Soham Karwa
6638,MATH,218D-1,01D,Matrices and Vector Spaces,"Solving systems of linear equations, matrix factorizations and fundamental vector subspaces, orthogonality, least squares problems, eigenvalues and eigenvectors, the singular value decomposition and principal component analysis, applications to data-driven problems. Intended primarily for students in computer science and other data-focused sciences. Prospective math majors should take Mathematics 221 instead. Not open to students who have taken Mathematics 216 or 221. Recommended prerequisite: Mathematics 21, 121, 106L, or 111L.",,0,DIS,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,25,1,24,0,21,Graded,N,Conghan Dong
6639,MATH,218D-1,02D,Matrices and Vector Spaces,"Solving systems of linear equations, matrix factorizations and fundamental vector subspaces, orthogonality, least squares problems, eigenvalues and eigenvectors, the singular value decomposition and principal component analysis, applications to data-driven problems. Intended primarily for students in computer science and other data-focused sciences. Prospective math majors should take Mathematics 221 instead. Not open to students who have taken Mathematics 216 or 221. Recommended prerequisite: Mathematics 21, 121, 106L, or 111L.",,0,DIS,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,25,21,4,0,21,Graded,N,Conghan Dong
6640,MATH,218D-1,03D,Matrices and Vector Spaces,"Solving systems of linear equations, matrix factorizations and fundamental vector subspaces, orthogonality, least squares problems, eigenvalues and eigenvectors, the singular value decomposition and principal component analysis, applications to data-driven problems. Intended primarily for students in computer science and other data-focused sciences. Prospective math majors should take Mathematics 221 instead. Not open to students who have taken Mathematics 216 or 221. Recommended prerequisite: Mathematics 21, 121, 106L, or 111L.",,0,DIS,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,25,24,1,0,21,Graded,N,Arjun Nigam
6641,MATH,218D-1,04D,Matrices and Vector Spaces,"Solving systems of linear equations, matrix factorizations and fundamental vector subspaces, orthogonality, least squares problems, eigenvalues and eigenvectors, the singular value decomposition and principal component analysis, applications to data-driven problems. Intended primarily for students in computer science and other data-focused sciences. Prospective math majors should take Mathematics 221 instead. Not open to students who have taken Mathematics 216 or 221. Recommended prerequisite: Mathematics 21, 121, 106L, or 111L.",,0,DIS,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,24,22,2,0,21,Graded,N,Arjun Nigam
6670,MATH,218D-2,001,Matrices and Vectors,"Solving systems of linear equations, matrix factorizations and fundamental vector subspaces, orthogonality, least squares problems, eigenvalues and eigenvectors, the singular value decomposition and principal component analysis, applications to engineering problems. Intended primarily for students in engineering. Prospective math majors should take Mathematics 221 instead. Not open to students who have taken Mathematics 216 or 221. Recommended prerequisite: Mathematics 21, 121, 106L, or 111L.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,60,36,24,0,60,Graded,N,Brian David Fitzpatrick
6671,MATH,218D-2,002,Matrices and Vectors,"Solving systems of linear equations, matrix factorizations and fundamental vector subspaces, orthogonality, least squares problems, eigenvalues and eigenvectors, the singular value decomposition and principal component analysis, applications to engineering problems. Intended primarily for students in engineering. Prospective math majors should take Mathematics 221 instead. Not open to students who have taken Mathematics 216 or 221. Recommended prerequisite: Mathematics 21, 121, 106L, or 111L.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,60,59,1,0,60,Graded,N,Brian David Fitzpatrick
6672,MATH,218D-2,01D,Matrices and Vectors,"Solving systems of linear equations, matrix factorizations and fundamental vector subspaces, orthogonality, least squares problems, eigenvalues and eigenvectors, the singular value decomposition and principal component analysis, applications to engineering problems. Intended primarily for students in engineering. Prospective math majors should take Mathematics 221 instead. Not open to students who have taken Mathematics 216 or 221. Recommended prerequisite: Mathematics 21, 121, 106L, or 111L.",,0,DIS,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,30,8,22,0,30,Graded,N,Shuchen Zhu
6673,MATH,218D-2,02D,Matrices and Vectors,"Solving systems of linear equations, matrix factorizations and fundamental vector subspaces, orthogonality, least squares problems, eigenvalues and eigenvectors, the singular value decomposition and principal component analysis, applications to engineering problems. Intended primarily for students in engineering. Prospective math majors should take Mathematics 221 instead. Not open to students who have taken Mathematics 216 or 221. Recommended prerequisite: Mathematics 21, 121, 106L, or 111L.",,0,DIS,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,30,30,0,0,30,Graded,N,Shuchen Zhu
6674,MATH,218D-2,03D,Matrices and Vectors,"Solving systems of linear equations, matrix factorizations and fundamental vector subspaces, orthogonality, least squares problems, eigenvalues and eigenvectors, the singular value decomposition and principal component analysis, applications to engineering problems. Intended primarily for students in engineering. Prospective math majors should take Mathematics 221 instead. Not open to students who have taken Mathematics 216 or 221. Recommended prerequisite: Mathematics 21, 121, 106L, or 111L.",,0,DIS,N,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,30,30,0,0,30,Graded,N,Jiayi Wang
