class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
5172,HINDI,102,01,Elementary Hindi,"This course continues with practice in the Hindi script, basic grammar, and sentence structure, including past and future tenses. The focus is on developing practical skills in Hindi through speaking, listening, reading, and writing. This is a service-learning course. Engagement may include direct, project-based, or research-focused service with local/global community partners among other engaged practices. Prerequisite: Hindi 101 or a placement test.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,18,8,10,0,18,Graded,N,Anshul Jain; Kusum Knapczyk
9564,HINDI,102,02,Elementary Hindi,"This course continues with practice in the Hindi script, basic grammar, and sentence structure, including past and future tenses. The focus is on developing practical skills in Hindi through speaking, listening, reading, and writing. This is a service-learning course. Engagement may include direct, project-based, or research-focused service with local/global community partners among other engaged practices. Prerequisite: Hindi 101 or a placement test.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Closed,18,18,0,0,18,Graded,N,Anshul Jain; Kusum Knapczyk
5173,HINDI,204,01,Intermediate Hindi,"Students will advance in all language skills, including reading, writing, listening, and speaking. Authentic materials such as magazines, newspapers, TV serials, stories, and movies will be used frequently to practice Hindi grammar and vocabulary. This is a service-learning course. Engagement may include direct, project-based, or research-focused service with local/global community partners among other engaged practices. Prerequisite: Hindi 203 or a placement test.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,18,9,9,0,18,Graded,N,Anshul Jain; Kusum Knapczyk
5174,HINDI,306,01,Advanced Hindi,Continuation of Hindi 305. Prerequisite: Hindi 305 or equivalent.,,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,12,4,8,0,12,Graded,N,Satendra Khanna
5187,HINDI,408S,01,Issues in Hindi Language and Society II,Continuation of Hindi 407S. Prerequisite: Hindi 306 or consent of instructor.,,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,01/08/2025,04/23/2025,Open,8,4,4,0,8,Graded,N,Satendra Khanna
